id,fetched_at,name,album_type,available_markets_rowid,external_id_upc,copyright_c,copyright_p,label,popularity,release_date,release_date_precision,total_tracks
0S0KGZnfBGSIssfF54WSJh,2025-03-13 00:00:00.000000 +00:00,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",album,8,00602577427640,© 2019 Darkroom/Interscope Records,℗ 2019 Darkroom/Interscope Records,Darkroom/Interscope Records,85,2019-03-29,day,14
1rpCHilZQkw84A3Y9czvMO,2025-03-13 00:00:00.000000 +00:00,Bewitched,album,3,197189597817,"(C) 2023 Laufey under exclusive license to AWAL Recordings America, Inc.","(P) 2023 Laufey under exclusive license to AWAL Recordings America, Inc.",Laufey,77,2023-09-08,day,14
2vD3zSQr8hNlg0obNel4TE,2025-03-13 00:00:00.000000 +00:00,Camila,album,3,886446870298,,"(P) 2018 Simco Ltd. under exclusive license to Epic Records, a division of Sony Music Entertainment",Syco Music/Epic,74,2018-01-12,day,11
6SSSF9Y6MiPdQoxqBptrR2,2025-03-13 00:00:00.000000 +00:00,Kiss,album,12,00602537168774,© 2012 School Boy/Interscope Records,℗ 2012 School Boy/Interscope Records,Silent Records IGA,70,2012-01-01,day,17
3dWX1xFUaalRlaaVpe4EPF,2025-03-13 00:00:00.000000 +00:00,It Must Have Been Love,single,13,825646124688,"© 2015 Parlophone Music Sweden AB, a Warner Music Group Company","℗ 2015 Parlophone Music Sweden AB, a Warner Music Group Company",WM Sweden,70,1990-05-20,day,3
1CvjjpvqVMoyprsf74bpYW,2025-03-13 00:00:00.000000 +00:00,Fanmail,album,3,730082615525,,(P) 1999 LaFace Records LLC,Arista/LaFace Records,70,1999-02-23,day,17
2P8M5eo4zWFD0JJtH4D0iA,2025-03-13 00:00:00.000000 +00:00,"Bigger, Better, Faster, More !",album,8,00606949211226,© 1992 Interscope Records,℗ 1992 Interscope Records,Interscope,70,1992-01-01,day,11
5PmgtkodFl2Om3hMXONDll,2025-03-13 00:00:00.000000 +00:00,Oops!... I Did It Again,album,3,012414170422,,(P) 2000 Zomba Recording LLC,Jive,72,2000-05-16,day,12
0jZfbz0dNfDjPSg0hYJNth,2025-03-13 00:00:00.000000 +00:00,Believe,album,14,639842531962,© 1998 Warner Music UK Ltd.,℗ 1998 All tracks 1998 Warner Music UK Ltd except track 10 1987 The David Geffen Company.,Warner Records,71,1998-01-01,year,10
49yHvRh1cOfLcEKukEP7Ox,2025-03-13 00:00:00.000000 +00:00,When The Sun Goes Down,album,2,00050087241735,"© 2011 Hollywood Records, Inc.","℗ 2011 Hollywood Records, Inc.",Hollywood Records,72,2011-01-01,day,12
68ishLKwqH5oH79kUteEHG,2025-03-13 00:00:00.000000 +00:00,Read My Lips (Deluxe Version),album,2,00731458996828,© 2002 Polydor Ltd. (UK),℗ 2002 Polydor Ltd. (UK),Polydor Records,70,2002-06-06,day,15
3x2jF7blR6bFHtk4MccsyJ,2025-03-13 00:00:00.000000 +00:00,Spice,album,8,00724384217457,© 1996 Virgin Records Limited,℗ 1996 Virgin Records Limited,Virgin Records,72,1996-01-01,day,10
5fhTetHew6Eph6HfQ9O5gJ,2025-03-13 00:00:00.000000 +00:00,i used to think i could fly,album,3,196589103154,,"(P) 2022 RCA Records, a division of Sony Music Entertainment",RCA Records Label,74,2022-05-27,day,13
0IuHVgAvbNDJnJepuSZ8Oz,2025-03-13 00:00:00.000000 +00:00,The Time Of Our Lives (International Version),album,15,00050087154578,"© 2009 Hollywood Records, Inc.","℗ 2009 Hollywood Records, Inc.",Hollywood Records,73,2009-01-01,day,8
3WchHjZ44WYDGA7H7LQcfI,2025-03-13 00:00:00.000000 +00:00,SNAP,single,3,196589359971,(C) 2022 Nvak Collective,(P) 2022 Nvak Collective,Nvak Collective,69,2022-03-19,day,1
68L5xVV9wydotfDXEik7eD,2025-03-13 00:00:00.000000 +00:00,five seconds flat,album,3,5056167170006,"(C) 2022 Harbour Artists & Music under exclusive license to AWAL Recordings America, Inc.","(P) 2022 Harbour Artists & Music under exclusive license to AWAL Recordings America, Inc.",Harbour Artists & Music,72,2022-04-08,day,14
5ZQB1ZQ2Yx9YT3nZlR2Pgu,2025-03-13 00:00:00.000000 +00:00,Warrior (Expanded Edition),album,3,886443748880,,(P) 2012 Kemosabe Records,Kemosabe Records/RCA Records,70,2012-11-30,day,24
5G5UwqPsxDKpxJLX4xsyuh,2025-03-13 00:00:00.000000 +00:00,Hounds Of Love,album,3,5099902930152,2011 Noble & Brite Ltd,2011 Noble & Brite Ltd,Fish People,70,1985-09-16,day,12
3RDqXDc1bAETps54MSSOW0,2025-03-13 00:00:00.000000 +00:00,Bangerz (Deluxe Version),album,3,886444197816,,"(P) 2013 RCA Records, a division of Sony Music Entertainment",RCA Records Label,75,2013-10-04,day,16
1rLLyY5p6HXNl2lKzINWp5,2025-03-13 00:00:00.000000 +00:00,Lungs (Deluxe Version),album,16,00602527724102,© 2011 Universal Island Records Ltd. A Universal Music Company.,℗ 2011 Universal Island Records Ltd. A Universal Music Company.,Universal-Island Records Ltd.,74,2009-01-01,year,20
3U8n8LzBx2o9gYXvvNq4uH,2025-03-13 00:00:00.000000 +00:00,My 21st Century Blues,album,3,197186999980,(C) 2023 RAYE exclusively licensed to Human Re Sources,(P) 2023 RAYE under exclusive license to Human Re Sources,48756d61-6e20-5265-2053-6f7572636573,77,2023-02-03,day,15
